"id","first_name","last_name","known_name","squad","total_points","avg_points","last_3_avg","last_5_avg","high_score","low_score","last_match_points","owned_by"
"210475","Ulises","Segura",,"DC","90","2.9","4","3.6","14","1","3","0.33"
"41679","Chris","Seitz",,"DC","3","3","3","3.4","3","3",,"0.08"
"151954","Dillon","Serna",,"COL","29","2.07","1","1","6","1",,"0.05"
"224382","Brandon","Servania",,"DAL","56","3.29","1.67","2.4","11","0","1","0.42"
"477838","Jacob","Shaffelburg",,"TOR","26","2.6","1.67","1.6","8","1",,"0.64"
"50067","Brek","Shea",,"ATL","52","2.74","2.33","2.4","6","1",,"0.06"
"234297","Andre","Shinyashiki",,"COL","109","3.76","3.33","5.2","13","1","1","1.52"
"177976","Harry","Shipp",,"SEA","93","3.72","1.67","4.6","12","0","2","0.55"
"225062","Shamit","Shome",,"MTL","64","2.46","1.33","1.2","9","1","2","0.21"
"77521","Bobby","Shuttleworth",,"MIN","0","0","1.67","2.2","0","0",,"0.08"
"110624","Luis","Silva",,"SEA","7","1.75","1.67","2","2","1","2","0.01"
"77994","Marcelo","Silva",,"RSL","68","4","4.33","3.6","11","-3","11","0.19"
"176907","Judson","Silva Tavares",,"SJ","90","3.6","3","4.8","11","1","2","0.07"
"153379","Josh","Sims",,"NY","19","3.8","5.33","3.8","9","1","5","0.16"
"82526","Seth","Sinovic",,"SKC","80","3.64","2.33","1.6","10","0",,"0.24"
"201168","Pablo","Sisniega",,"LAFC","17","3.4","1.67","3.4","9","1",,"0.62"
"202407","Axel","Sj?berg",,"COL","8","1.14","2","1.8","5","-3",,"0.07"
"63800","Jorgen","Skjelvik",,"LA","84","4.42","2.67","4","13","-1",,"0.64"
"151937","Blake","Smith",,"CIN","0","0","0","0","0","0",,"0"
"120447","Brad","Smith",,"SEA","108","4.7","4","2.8","12","0","5","2.06"
"200190","Graham","Smith",,"SKC","59","5.36","4.67","7","13","-1",,"0.64"
"227733","Kyle","Smith",,"ORL","46","2.19","2.67","3","8","0",,"0.03"
"45099","Tommy","Smith",,"COL","105","4.2","5.33","6.6","11","-2","10","1.76"
"114236","Gabriel","Somi",,"NE","0","0","1.33","1.2","0","0",,"0"
"179062","Eduardo","Sosa",,"CLB","14","1.75","2.33","1.8","5","1",,"0.05"
"234433","Dayne","St. Clair",,"MIN","0","0","0","0","0","0",,"0.4"
"219510","Mason","Stajduhar",,"ORL","0","0","0","0","0","0",,"0.38"
"164477","Caleb","Stanko",,"CIN","49","2.23","1.33","2.6","5","0",,"0.03"
"164484","Zack","Steffen",,"CLB","68","5.23","1.67","1.8","18","1",,"0.18"
"111473","Daniel","Steres",,"LA","137","4.89","2.67","3","15","-3","2","4.44"
"20962","Zoltan","Stieber",,"DC","16","1.78","1.33","2","5","1",,"0.02"
"67502","Aljaz","Struna",,"HOU","83","3.19","2.67","3.4","9","0","5","0.16"
"151939","Brad","Stuver",,"NYC","20","4","5","4","9","2",,"0.3"
"27678","Scott","Sutter",,"VAN","42","2.8","3.67","2.6","8","1","4","0.86"
"51774","Gustav","Svensson",,"SEA","73","3.65","4","3.6","7","1","4","0.34"
"163529","Ben","Sweat",,"NYC","43","2.53","4","3.2","8","0",,"0.46"
"225063","Ballou Jean-Yves","Tabla",,"MTL","5","1.25","1.33","2","2","1",,"0.02"
"82752","Saphir","Taider",,"MTL","196","6.53","7.67","6.4","14","1","10","0.44"
"153390","Ismael","Tajouri-Shradi",,"NYC","63","3.94","3","2.2","21","0","1","0.13"
"221400","Andrew","Tarbell",,"SJ","0","0","1.67","2","0","0",,"0.02"
"212993","Amro","Tarek",,"NY","86","4.3","0","2.8","11","-2",,"0.61"
"92437","Russell","Teibert",,"VAN","82","3.28","3.33","3","9","1","4","0.13"
"250972","Ryan","Telfer",,"TOR","5","5","3.33","2.4","5","5",,"0.05"
"178211","Tommy","Thompson",,"SJ","128","4.57","1.67","4.2","16","0","1","0.49"
"66284","Anton","Tinnerholm",,"NYC","151","5.21","3.33","4","11","1","4","1.58"
"96201","Donny","Toia",,"RSL","104","4.95","5","6.4","12","0",,"0.21"
"244410","Nouhou","Tolo",,"SEA","45","2.14","4","3","9","0",,"0.22"
"424432","Juan","Torres",,"NYC","1","1","1","1","1","1",,"0.06"
"34160","Rom?n","Torres",,"SEA","48","3.2","4.67","3.8","10","0",,"0.19"
"249164","Mason","Toye",,"MIN","61","4.36","2","4.2","13","-1","3","0.83"
"433843","Diedie","Traore",,"LA","13","3.25","4","3.25","6","1",,"0.09"
"148995","Wil","Trapp",,"CLB","110","4.23","2.33","3.2","8","1","2","0.32"
"201410","Auston","Trusty",,"PHI","102","4.64","4.33","3.6","10","-1",,"0.48"
"175077","Bill","Tuiloma",,"POR","70","3.18","1.67","3.6","10","1","1","2.07"
"224068","Matt","Turner",,"NE","79","4.39","5.67","4.8","11","-1","9","0.44"
"443009","Ema","Twumasi",,"DAL","2","1","1","1","1","1",,"0.05"
"46374","Przemyslaw","Tyton",,"CIN","45","3.46","6","4.4","8","1","8","1.23"
"95280","Victor","Ulloa",,"CIN","89","3.42","4.33","4.4","8","1",,"0.45"
"97607","Maximiliano","Urruti",,"MTL","106","3.66","5.33","4.2","11","0",,"0.24"
"95236","Zarek","Valentin",,"POR","59","3.11","5","4","9","1","9","0.21"
"222820","Milton","Valenzuela",,"CLB","0","0","4.67","5.8","0","0",,"0.02"
