"id","first_name","known_name","last_name","Round","price","match_id","match_score","squad","Home Team","position","Minutes","Goals","Assists","Clean Sheet","Saves","Penalties Earned","Penalties Saved","Penalties Missed","Goals Conceded","Yellow Cards","Red Cards","Own Goals","Own Goal Assists","Shots","Was Fouled","Passes","Passes Completed","Crosses","Key Passes","Big Chances","Clearances","Blocks","Interceptions","Tackles","Balls Recovered","Errors Leading to a Goal"
"202402","Saad",,"Abdul-Salaam","12","4300000","1040027","7","SEA","False","2","90","0","0","1","0","0","0","0","0","0","0","0","0","1","1","28","16","0","1","0","1","0","2","0","1","0"
"202402","Saad",,"Abdul-Salaam","19","4900000","1040032","1","SEA","True","2","17","0","0","1","0","0","0","0","0","0","0","0","0","0","0","9","5","0","0","0","1","0","0","0","0","0"
"202402","Saad",,"Abdul-Salaam","15","4800000","1040043","1","SEA","False","2","90","0","0","0","0","0","0","0","2","0","0","0","0","0","0","53","43","0","0","0","0","0","0","0","2","0"
"202402","Saad",,"Abdul-Salaam","20","4500000","1040062","1","SEA","True","2","18","0","0","1","0","0","0","0","0","0","0","0","0","0","0","9","5","0","0","0","0","0","1","0","1","0"
"202402","Saad",,"Abdul-Salaam","21","4100000","1040066","9","SEA","False","2","90","0","0","1","0","0","0","0","0","0","0","0","0","0","0","40","28","0","0","0","2","0","4","3","7","0"
"202402","Saad",,"Abdul-Salaam","22","4600000","1040090","1","SEA","True","2","90","0","0","0","0","0","0","0","3","1","0","0","0","0","2","46","40","1","0","0","3","0","0","0","3","0"
"202402","Saad",,"Abdul-Salaam","25","4600000","1040145","0","SEA","False","2","16","0","0","1","0","0","0","0","0","1","0","0","0","0","0","4","3","0","1","0","1","0","0","0","2","0"
"202402","Saad",,"Abdul-Salaam","23","4800000","1040159","3","SEA","True","2","90","0","0","0","0","0","0","0","3","0","0","0","0","0","0","40","34","0","3","0","1","0","0","0","2","0"
"202402","Saad",,"Abdul-Salaam","24","4900000","1040169","1","SEA","False","2","90","0","0","0","0","0","0","0","3","0","0","0","0","0","1","50","40","0","0","0","2","0","1","0","5","0"
"244927","Lalas",,"Abubakar","16","5500000","1039923","4","COL","False","2","90","0","0","0","0","0","0","0","2","1","0","0","0","0","0","20","13","0","1","0","12","3","1","1","1","0"
"244927","Lalas",,"Abubakar","9","5500000","1039937","5","COL","False","2","90","0","0","0","0","0","0","0","2","0","0","0","0","2","0","51","48","0","1","0","8","2","2","0","8","1"
